timestep,reward
169,-0.003
558561,0.078
1115675,0.05
1668951,0.009
2212659,0.023
2758412,0.079
3308580,0.057
3859164,0.037
4409528,0.018
4964155,0.074
5522875,0.021
6077682,0.043
6631153,0.07
7182113,0.02
7732435,0.048
8288890,0.022
8841396,0.024
9390413,0.035
9939832,0.058
10493725,0.064
11044206,0.043
11596605,0.069
12140418,0.033
12699134,0.05
13249506,0.042
13802572,0.01
14349537,0.017
14895232,0.049
15452775,0.019
16005395,0.076
16555746,0.053
17107431,0.034
17665196,0.044
18211244,0.062
18757740,0.015
19306746,0.013
19857545,-0.015
20413828,0.043
20965453,0.027
21520032,0.044
22069906,-0.014
22626978,0.05
23181619,0.026
23737359,0.051
24291088,0.046
24844156,-0.007
25393666,0.061
25947479,0.043
26500277,0.043
27056304,0.051
