timestep,reward
16,0.005
558074,-0.003
1114881,0.018
1673495,0.032
2230864,0.059
2791326,0.012
3345214,0.049
3897222,0.012
4447458,0.02
4999102,-0.005
5557106,0.033
6115959,0.001
6668683,0.005
7225478,0.049
7773455,0.014
8330170,0.067
8880570,0.007
9436989,0.04
9988472,0.069
10542826,0.015
11098691,0.002
11653283,0.052
12205464,0.043
12755742,0.063
13310158,0.016
13861033,0.022
14417658,0.002
14975229,0.057
15533096,0.004
16085084,0.012
16637315,0.022
17186894,0.012
17745353,0.03
18299597,0.069
18858567,0.022
19408783,0.015
19967122,0.005
20516746,0.012
21065449,0.043
21615855,0.07
22173018,0.015
22728733,0.017
23285360,0.014
23842184,0.014
24399583,-0.003
24965054,0.002
25518561,-0.015
26077400,0.013
26625362,0.028
27182027,0.029
